smiles,downloadsindex
Smiles string: CCN[C@H]1C[C@H](C)S(=O)(=O)c2sc(S(N)(=O)=O)cc21,
Smiles string: CCOC(=O)Nc1ccc2c(c1)N(C(=O)CN(CC)CC)c1ccccc1CC2,
Smiles string: CCOC(=O)c1c(CSc2ccccc2)n(C)c2cc(Br)c(O)c(CN(C)C)c12,
Smiles string: CN(C)C(=O)COC(=O)Cc1ccc(OC(=O)c2ccc(NC(=N)N)cc2)cc1,
Smiles string: CN(C)CCCN1c2ccccc2CCc2ccccc21,
Smiles string: CN(C)c1ccc(O)c2c1C[C@H]1C[C@H]3[C@H](N(C)C)C(O)=C(C(N)=O)C(=O)[C@@]3(O)C(O)=C1C2=O,
Smiles string: CN1CCc2cccc3c2[C@H]1Cc1ccc(O)c(O)c1-3,
Smiles string: CN1c2ccccc2C(=O)N2CCc3c([nH]c4ccccc34)C21,
Smiles string: CNC(=O)c1ccccc1Sc1ccc2c(/C=C/c3ccccn3)n[nH]c2c1,
Smiles string: CNCC[C@@H](Oc1ccccc1C)c1ccccc1,
Smiles string: CNCc1cc(-c2ccccc2F)n(S(=O)(=O)c2cccnc2)c1,
Smiles string: CN[C@@H](C)[C@@H](O)c1ccccc1,
Smiles string: CN[C@@H](C)[C@H](O)c1ccccc1,
Smiles string: COc1c(-c2ccc3cc(NS(C)(=O)=O)ccc3c2)cc(-n2ccc(=O)[nH]c2=O)cc1C(C)(C)C,
Smiles string: COc1cc(Cc2cnc(N)nc2N)cc(OC)c1OC,
Smiles string: COc1cc2nccc(Oc3ccc(NC(=O)NC4CC4)c(Cl)c3)c2cc1C(N)=O,
Smiles string: COc1ccc(CC(C)NCC(O)c2ccc(O)c(NC=O)c2)cc1,
Smiles string: COc1ccc(S(=O)(=O)N2Cc3[nH]c4ccccc4c3CC2C(N)=O)cc1,
Smiles string: COc1ccc2ccc(=O)oc2c1CC=C(C)C,
Smiles string: COc1ccccc1Oc1c(NS(=O)(=O)c2ccc(C(C)(C)C)cc2)nc(-c2ncccn2)nc1OCCO,
Smiles string: CS(=O)(=O)CCNCc1ccc(-c2ccc3ncnc(Nc4ccc(OCc5cccc(F)c5)c(Cl)c4)c3c2)o1,
Smiles string: C[C@@H](Oc1cc(-c2cnn(C3CCNCC3)c2)cnc1N)c1c(Cl)ccc(F)c1Cl,
Smiles string: C[C@@H]1CC[C@H]2[C@@H](C)[C@H](OC(=O)CCC(=O)O)O[C@@H]3O[C@@]4(C)CC[C@@H]1[C@@]23OO4,
Smiles string: C[C@H](NC(C)(C)C)C(=O)c1cccc(Cl)c1,
Smiles string: C[C@H]1CNCCCN1S(=O)(=O)c1cccc2cncc(F)c12,
Smiles string: C[C@H]1COc2c(N3CCN(C)CC3)c(F)cc3c(=O)c(C(=O)O)cn1c23,
Smiles string: C[C@H]1C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]2(C)[C@@]1(O)C(=O)COP(=O)(O)O,
Smiles string: C[C@]12C=CC(=O)C(Cl)=C1CC[C@H]1[C@H]2CC[C@]2(C)[C@@H]1CC[C@]2(C)O,
Smiles string: Cc1cc(N2CCN([C@H]3CN[C@H](C(=O)N4CCSC4)C3)CC2)n(-c2ccccc2)n1,
Smiles string: Cc1cc2c(s1)Nc1ccccc1N=C2N1CCN(C)CC1,
Smiles string: Cc1ccc(-n2nccn2)c(C(=O)N2CCN(c3nc4cc(Cl)ccc4o3)CCC2C)c1,
Smiles string: Cc1ccc(S(=O)(=O)Nc2ccc(C(=O)/C=C/c3ccc(O)cc3)cc2)cc1,
Smiles string: Cc1cccc(C)c1OCC(=O)N[C@@H](Cc1ccccc1)[C@@H](O)C[C@H](Cc1ccccc1)NC(=O)[C@H](C(C)C)N1CCCNC1=O,
Smiles string: Clc1ccc(CCCOCCCN2CCCCC2)cc1,
Smiles string: Clc1ccccc1CN1CCc2sccc2C1,
Smiles string: Cn1c(=O)c2c(ncn2C)n(C)c1=O,
Smiles string: Cn1nnc(-c2ccc(-c3ccc(N4C[C@H](CO)OC4=O)cc3F)cn2)n1,
Smiles string: NC(=O)c1cn(Cc2c(F)cccc2F)nn1,
Smiles string: NC(=O)c1nc(F)cnc1O,
Smiles string: NC(N)=Nc1nc(CSCCC(N)=NS(N)(=O)=O)cs1,
Smiles string: N[C@@H](Cc1cc(O)c(O)cc1[18F])C(=O)O,
Smiles string: O=C(NOCCO)c1ccc2cncn2c1Nc1ccc(I)cc1F,
Smiles string: O=C(N[C@H](CO)[C@H](O)c1ccc([N+](=O)[O-])cc1)C(Cl)Cl,
Smiles string: O=C(O)CCC(=O)OC[C@@H](NC(=O)C(Cl)Cl)[C@H](O)c1ccc([N+](=O)[O-])cc1,
Smiles string: O=C(O)c1cc(O)c2c(c1)C(C1c3cc(C(=O)O)cc(O)c3C(=O)c3c(OC4OC(CO)C(O)C(O)C4O)cccc31)c1cccc(OC3OC(CO)C(O)C(O)C3O)c1C2=O,
Smiles string: O=C1CN=C(c2ccccc2)c2cc(Cl)ccc2N1,
Smiles string: O=C1Nc2ccc(Cl)cc2C(c2ccccc2)=NC1O,
Smiles string: O=P1(NCCCl)OCCCN1CCCl,
Smiles string: OCCOCCN1CCN(C(c2ccccc2)c2ccc(Cl)cc2)CC1,
