substrate_smiles,output,number
CC1=NC(NC2=NC=C(C(=O)NC3=C(C)C=CC=C3Cl)S2)=CC(N2CCN(CCO)CC2)=N1,CYP3A4|Cc1nc(Nc2ncc(C(=O)Nc3c(C)cccc3Cl)s2)cc(N2CCNCC2)n1<separated>CYP3A4|Cc1nc(Nc2ncc(C(=O)Nc3c(Cl)cccc3CO)s2)cc(N2CCN(CCO)CC2)n1<separated>CYP3A4|Cc1nc(Nc2ncc(C(=O)Nc3c(C)cc(O)cc3Cl)s2)cc(N2CCN(CCO)CC2)n1,3
CC1=NC=C2N1C1=CC=C(Cl)C=C1C(C1=CC=CC=C1F)=NC2,UGT2B7|Cc1n2c(c[n+]1C1OC(C(=O)O)C(O)C(O)C1O)CN=C(c1ccccc1F)c1cc(Cl)ccc1-2,1
CC1=NC=C2N1C1=CC=C(Cl)C=C1C(C1=CC=CC=C1F)=NC2O,CYP3A4|CYP3A5|OCc1ncc2n1-c1ccc(Cl)cc1C(c1ccccc1F)=NC2O<separated>UGT2B4|UGT2B7|Cc1ncc2n1-c1ccc(Cl)cc1C(c1ccccc1F)=NC2OC1OC(C(=O)O)C(O)C(O)C1O<separated>UGT1A4|Cc1n2c(c[n+]1C1OC(C(=O)O)C(O)C(O)C1O)C(O)N=C(c1ccccc1F)c1cc(Cl)ccc1-2,3
ClC1=CC=C2C(=C1)N=C(N1CCNCC1)C1=CC=CC=C1N2,UGT1A1|UGT1A4|O=C(O)[C@@H]1OC(N2c3ccc(Cl)cc3N=C(N3CCNCC3)c3ccccc32)[C@@H](O)[C@H](O)[C@H]1O,1
N#CCNC(=O)C1=CC=C(C2=CC=NC(NC3=CC=C(N4CCOCC4)C=C3)=N2)C=C1,CYP1A2|CYP2C19|CYP2C8|CYP2C9|CYP3A4|N#CCNC(=O)c1ccc(-c2ccnc(Nc3ccc(N4CCOCC4=O)cc3)n2)cc1,1
N#CC1=CC=C2C(=C1)COC2(CCC=O)C1=CC=C(F)C=C1,AOX|N#Cc1ccc2c(c1)COC2(CCC(=O)O)c1ccc(F)cc1,1
N#CC1=CC=C2C(=C1)CO[C@@]2(CCC=O)C1=CC=C(F)C=C1,AOX|CYP2C19|N#Cc1ccc2c(c1)CO[C@@]2(CCC(=O)O)c1ccc(F)cc1,1
O=C(C1CCCCC1)N1CC(=O)N2CCC3=CC=CC=C3C2C1,CYP1A2|CYP2C19|CYP2C9|CYP3A4|O=C(C1CCC(O)CC1)N1CC(=O)N2CCc3ccccc3C2C1,1
O=C(O)CNC(=O)C1C(=O)N(C2CCCCC2)C(=O)N(C2CCCCC2)C1=O,CYP2C8|CYP3A4|O=C(O)CNC(=O)C1C(=O)N(C2CCC(O)CC2)C(=O)N([C@H]2CC[C@H](O)CC2)C1O<separated>CYP2C8|CYP3A4|O=C(O)CNC(=O)C1C(=O)N(C2CCC[C@H](O)C2)C(=O)N([C@H]2CCC[C@H](O)C2)C1O<separated>CYP2C8|CYP3A4|O=C(O)CNC(=O)C1C(=O)N(C2CCC[C@@H](O)C2)C(=O)N([C@H]2CC[C@H](O)CC2)C1O<separated>CYP2C8|CYP3A4|O=C(O)CNC(=O)C1C(=O)N(C2CCC[C@H](O)C2)C(=O)N([C@@H]2CCC[C@H](O)C2)C1=O,4
O=C(O)CNC(=O)C1C(=O)N(C2CCC[C@H](O)C2)C(=O)N([C@H]2CC[C@H](O)CC2)C1O,CYP2C8|CYP3A4|O=C(O)CNC(=O)C1C(=O)N(C2CC[C@H](O)[C@H](O)C2)C(=O)N([C@H]2CC[C@H](O)CC2)C1O,1
O=C(O)C[C@H](O)C[C@H](O)/C=C/C1=C(C2CC2)N=C2C=CC=CC2=C1C1=CC=C(F)C=C1,UGT1A1|UGT1A3|UGT2B7|O=C(C[C@H](O)C[C@H](O)/C=C/c1c(C2CC2)nc2ccccc2c1-c1ccc(F)cc1)OC1OC(C(=O)O)C(O)C(O)C1O<separated>CYP2C8|CYP2C9|O=C(O)C[C@H](O)C[C@H](O)/C=C/c1c(C2CC2)nc2c(O)cccc2c1-c1ccc(F)cc1,2
O=C1CC(=O)N(C2=CC=CC=C2)C2=CC(Cl)=CC=C2N1,CYP2C18|CYP2C19|O=C1CC(=O)N(c2ccc(O)cc2)c2cc(Cl)ccc2N1,1
O=C1CC(O)CC(/C=C/C2=C(C3=CC=C(F)C=C3)C3=CC=CC=C3N=C2C2CC2)O1,CYP3A4|O=C(O)CC(O)CC(=O)/C=C/c1c(C2CC2)nc2ccccc2c1-c1ccc(F)cc1,1
O=C1CN=C(C2=CC=CC=C2F)C2=CC(Cl)=CC=C2N1CC(F)(F)F,CYP2C9|CYP3A4|O=C1CN=C(c2ccccc2F)c2cc(Cl)ccc2N1<separated>CYP2C9|CYP3A4|O=C1C(O)N=C(c2ccccc2F)c2cc(Cl)ccc2N1CC(F)(F)F,2
OC(C1=CC=CC=C1)(C1=CC=CC=C1)C12CC[N+](CCOCC3=CC=CC=C3)(CC1)CC2,CYP2D6|OCC[N+]12CCC(C(O)(c3ccccc3)c3ccccc3)(CC1)CC2<separated>CYP2D6|Oc1ccc(COCC[N+]23CCC(C(O)(c4ccccc4)c4ccccc4)(CC2)CC3)cc1,2
OC[C@H]1O[C@@H](C2=CC=C(Cl)C(CC3=CC=C(OCCOC4CC4)C=C3)=C2)[C@H](O)[C@@H](O)[C@@H]1O,UGT1A1|UGT1A9|O=C(O)[C@H]1OC(O[C@@H]2[C@@H](O)[C@H](c3ccc(Cl)c(Cc4ccc(OCCOC5CC5)cc4)c3)O[C@H](CO)[C@H]2O)[C@H](O)[C@@H](O)[C@@H]1O<separated>CYP3A4|O=C(O)COc1ccc(Cc2cc([C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)ccc2Cl)cc1<separated>CYP2C8|CYP2D6|CYP3A4|OCCOc1ccc(Cc2cc([C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)ccc2Cl)cc1<separated>CYP2D6|CYP3A4|OC[C@H]1O[C@@H](c2ccc(Cl)c(C(O)c3ccc(OCCOC4CC4)cc3)c2)[C@H](O)[C@@H](O)[C@@H]1O,4
OCC1=NC=C2N1C1=CC=C(Cl)C=C1C(C1=CC=CC=C1F)=NC2,CYP3A4|CYP3A5|OCc1ncc2n1-c1ccc(Cl)cc1C(c1ccccc1F)=NC2O<separated>UGT2B4|UGT2B7|O=C(O)C1OC(OCc2ncc3n2-c2ccc(Cl)cc2C(c2ccccc2F)=NC3)C(O)C(O)C1O<separated>UGT1A4|O=C(O)C1OC([n+]2cc3n(c2CO)-c2ccc(Cl)cc2C(c2ccccc2F)=NC3)C(O)C(O)C1O,3
